"Nazwa Pliku",06-04-20 19:44,20-04-20 23:22,04-05-20 23:24,18-05-2020 21:54,01-06-20 23:27,15-06-20 23:42
"BackendJava\.mvn\wrapper\MavenWrapperDownloader.java",118,118,118,118,118,118
"BackendJava\.mvn\wrapper\maven-wrapper.jar",330,330,330,330,330,330
"BackendJava\.mvn\wrapper\maven-wrapper.properties",2,2,2,2,2,2
"BackendJava\BackendJava.iml",,134,134,135,,
"BackendJava\HELP.md",,22,22,22,,
"BackendJava\backendjava.iml",,,,,125,125
"BackendJava\mvnw",322,322,322,322,322,322
"BackendJava\mvnw.cmd",182,182,182,182,182,182
"BackendJava\pom.xml",69,69,69,75,75,75
"BackendJava\src\main\java\pl\technologieobiektowe\backendjava\BackendJavaApplication.java",14,14,14,14,14,14
"BackendJava\src\main\java\pl\technologieobiektowe\backendjava\TestData.java",59,59,59,59,95,95
"BackendJava\src\main\java\pl\technologieobiektowe\backendjava\TestsController.java",42,42,42,50,80,80
"BackendJava\src\main\java\pl\technologieobiektowe\backendjava\WebSecurityConfig.java",16,16,16,16,16,16
"BackendJava\src\main\resources\application.properties",1,1,1,1,1,1
"BackendJava\src\test\java\pl\technologieobiektowe\backendjava\BackendJavaApplicationTests.java",,13,13,13,13,13
"BackendJava\target\classes\application.properties",,1,1,1,1,1
"Etap_1\dane.txt",33,33,33,33,33,33
"Etap_2\Raport.docx",,550,550,550,550,550
"Etap_2\statisticsfiletools_1.0.0.jar",,62,62,62,62,62
"Etap_3\Raport.docx",,,392,392,392,392
"Etap_3\~$Raport.docx",,,1,1,1,1
"Etap_4\Raport.docx",,,,440,440,440
"Etap_4\~$Raport.docx",,,,1,,
"Etap_5\Raport.docx",,,,,806,806
"Etap_6\Raport.docx",,,,,,1328
"Etap_7\Raport-Podsumowanie.docx",,,,,,7322
"Etap_7\~$port-Podsumowanie.docx",,,,,,1
"Etap_7\~WRL0003.tmp",,,,,,6865
"FrontAngular\.editorconfig",16,16,16,16,16,16
"FrontAngular\README.md",27,27,27,27,27,27
"FrontAngular\angular.json",132,132,132,132,132,132
"FrontAngular\browserslist",12,12,12,12,12,12
"FrontAngular\dist\FrontAngular\favicon.ico",,,,,,11
"FrontAngular\dist\FrontAngular\index.html",,,,,,13
"FrontAngular\dist\FrontAngular\main-es2015.js",,,,,,542
"FrontAngular\dist\FrontAngular\main-es2015.js.map",,,,,,1
"FrontAngular\dist\FrontAngular\main-es5.js",,,,,,1067
"FrontAngular\dist\FrontAngular\main-es5.js.map",,,,,,1
"FrontAngular\dist\FrontAngular\polyfills-es2015.js",,,,,,3042
"FrontAngular\dist\FrontAngular\polyfills-es2015.js.map",,,,,,1
"FrontAngular\dist\FrontAngular\polyfills-es5.js",,,,,,18915
"FrontAngular\dist\FrontAngular\polyfills-es5.js.map",,,,,,1
"FrontAngular\dist\FrontAngular\runtime-es2015.js",,,,,,155
"FrontAngular\dist\FrontAngular\runtime-es2015.js.map",,,,,,1
"FrontAngular\dist\FrontAngular\runtime-es5.js",,,,,,155
"FrontAngular\dist\FrontAngular\runtime-es5.js.map",,,,,,1
"FrontAngular\dist\FrontAngular\styles-es2015.js",,,,,,338
"FrontAngular\dist\FrontAngular\styles-es2015.js.map",,,,,,1
